2016.03.28 20:30:10.474691 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913679ff
2016.03.28 20:30:10.510529 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913679ff in devices list
2016.03.28 20:30:10.522987 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591382fff
2016.03.28 20:30:10.557056 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591382fff in devices list
2016.03.28 20:30:10.568991 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 125->> update devices finish
2016.03.28 20:30:10.578935 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:10.594921 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 105->> check for new devices
2016.03.28 20:30:10.605818 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:10.637404 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:10.645803 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:10.687959 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:10.694906 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:10.731449 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:10.744124 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:10.769323 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591363eff in devices list
2016.03.28 20:30:10.778978 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913679ff
2016.03.28 20:30:10.823114 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913679ff in devices list
2016.03.28 20:30:10.833035 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591382fff
2016.03.28 20:30:10.868870 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591382fff in devices list
2016.03.28 20:30:10.877314 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 125->> update devices finish
2016.03.28 20:30:10.894117 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:10.904994 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 105->> check for new devices
2016.03.28 20:30:10.915396 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:10.948173 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:10.962628 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:10.995496 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
